Fecha;Equipo local;Equipo visitante;Goles local;Goles visitante
20/2/2026;Boca Juniors;Racing Club;0;0
11/3/2026;Boca Juniors;San Lorenzo;1;1
11/4/2026;Boca Juniors;Independiente;1;1
19/4/2026;River Plate;Boca Juniors;0;1
12/4/2026;Racing Club;River Plate;0;2
4/4/2026;Independiente;Racing Club;1;0
2/5/2026;San Lorenzo;Independiente;1;2
28/1/2026;Racing Club;Rosario Central;1;2
1/2/2026;Rosario Central;River Plate;0;0
8/2/2026;Huracán;San Lorenzo;1;0
12/3/2026;Huracán;River Plate;1;2
12/4/2026;Huracán;Rosario Central;3;1
3/4/2026;Racing Club;Huracán;0;0
23/1/2026;Independiente;Estudiantes;1;1
28/1/2026;Estudiantes;Boca Juniors;2;1
3/4/2026;San Lorenzo;Estudiantes;1;0
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
